date,hour,demand
2021-03-01,0,55
2021-03-01,1,54
2021-03-01,2,55
2021-03-01,3,55
2021-03-01,5,54
2021-03-01,6,54
2021-03-01,7,63
2021-03-01,8,72
2021-03-01,9,74
2021-03-01,10,75
2021-03-01,11,82
2021-03-01,12,101
2021-03-01,13,101
2021-03-01,14,105
2021-03-01,15,105
2021-03-01,16,99
2021-03-01,17,105
2021-03-01,18,100
2021-03-01,19,103
2021-03-01,20,88
2021-03-01,21,69
2021-03-01,22,67
2021-03-01,23,64
2021-03-02,0,59
2021-03-02,1,57
2021-03-02,2,58
2021-03-02,4,56
2021-03-02,6,56
2021-03-02,7,62
2021-03-02,8,71
2021-03-02,9,72
2021-03-02,10,71
2021-03-02,11,73
2021-03-02,12,80
2021-03-02,13,91
2021-03-02,14,82
2021-03-02,15,82
2021-03-02,16,92
2021-03-02,17,94
2021-03-02,18,87
2021-03-02,19,79
2021-03-02,20,76
2021-03-02,21,60
2021-03-02,22,55
2021-03-02,23,58
2021-03-03,0,58
2021-03-03,2,58
2021-03-03,3,58
2021-03-03,4,57
2021-03-03,5,56
2021-03-03,6,56
2021-03-03,7,63
2021-03-03,8,69
2021-03-03,9,68
2021-03-03,10,61
2021-03-03,11,60
2021-03-03,12,72
2021-03-03,13,72
2021-03-03,14,72
2021-03-03,15,72
2021-03-03,16,81
2021-03-03,17,85
2021-03-03,18,85
2021-03-03,19,81
2021-03-03,20,76
2021-03-03,21,63
2021-03-03,22,59
2021-03-03,23,56
2021-03-04,0,57
2021-03-04,1,55
2021-03-04,2,56
2021-03-04,4,57
2021-03-04,6,57
2021-03-04,7,66
2021-03-04,8,77
2021-03-04,9,74
2021-03-04,10,79
2021-03-04,11,85
2021-03-04,12,85
2021-03-04,13,85
2021-03-04,14,85
2021-03-04,15,85
2021-03-04,16,83
2021-03-04,17,88
2021-03-04,18,88
2021-03-04,19,86
2021-03-04,20,73
2021-03-04,21,63
2021-03-04,22,62
2021-03-04,23,58
2021-03-05,0,60
2021-03-05,1,58
2021-03-05,2,59
2021-03-05,3,56
2021-03-05,4,56
2021-03-05,5,56
2021-03-05,6,56
2021-03-05,7,63
2021-03-05,8,70
2021-03-05,9,75
2021-03-05,10,85
2021-03-05,11,88
2021-03-05,12,98
2021-03-05,13,98
2021-03-05,14,98
2021-03-05,15,93
2021-03-05,16,93
2021-03-05,17,98
2021-03-05,18,92
2021-03-05,19,86
2021-03-05,20,78
2021-03-05,21,69
2021-03-05,22,67
2021-03-05,23,60
2021-03-06,0,67
2021-03-06,1,65
2021-03-06,2,65
2021-03-06,4,63
2021-03-06,7,63
2021-03-06,8,72
2021-03-06,9,83
2021-03-06,10,100
2021-03-06,11,107
2021-03-06,12,121
2021-03-06,13,115
2021-03-06,14,117
2021-03-06,15,118
2021-03-06,16,117
2021-03-06,17,104
2021-03-06,18,105
2021-03-06,19,103
2021-03-06,20,94
2021-03-06,21,81
2021-03-06,22,74
2021-03-06,23,65
2021-03-07,0,63
2021-03-07,1,58
2021-03-07,2,60
2021-03-07,3,59
2021-03-07,4,58
2021-03-07,5,58
2021-03-07,7,63
2021-03-07,8,70
2021-03-07,9,78
2021-03-07,10,85
2021-03-07,11,91
2021-03-07,12,109
2021-03-07,13,109
2021-03-07,14,98
2021-03-07,15,104
2021-03-07,16,98
2021-03-07,17,98
2021-03-07,18,85
2021-03-07,19,85
2021-03-07,20,73
2021-03-07,21,64
2021-03-07,22,63
2021-03-07,23,61
2021-03-08,0,56
2021-03-08,1,68
2021-03-08,2,54
2021-03-08,3,50
2021-03-08,4,46
2021-03-08,6,54
2021-03-08,7,59
2021-03-08,8,71
2021-03-08,9,73
2021-03-08,10,69
2021-03-08,11,73
2021-03-08,12,80
2021-03-08,13,77
2021-03-08,14,81
2021-03-08,15,81
2021-03-08,16,82
2021-03-08,17,80
2021-03-08,18,78
2021-03-08,19,78
2021-03-08,20,69
2021-03-08,21,62
2021-03-08,22,60
2021-03-08,23,56
2021-03-09,0,56
2021-03-09,1,53
2021-03-09,2,54
2021-03-09,3,54
2021-03-09,4,53
2021-03-09,5,57
2021-03-09,6,54
2021-03-09,7,65
2021-03-09,8,74
2021-03-09,9,75
2021-03-09,10,70
2021-03-09,11,67
2021-03-09,12,73
2021-03-09,13,73
2021-03-09,14,73
2021-03-09,15,71
2021-03-09,16,75
2021-03-09,17,78
2021-03-09,18,78
2021-03-09,19,72
2021-03-09,20,68
2021-03-09,21,58
2021-03-09,22,56
2021-03-09,23,56
2021-03-10,0,63
2021-03-10,1,57
2021-03-10,2,55
2021-03-10,4,57
2021-03-10,6,54
2021-03-10,7,64
2021-03-10,8,69
2021-03-10,9,69
2021-03-10,10,59
2021-03-10,11,59
2021-03-10,12,64
2021-03-10,13,66
2021-03-10,14,66
2021-03-10,15,71
2021-03-10,16,73
2021-03-10,17,78
2021-03-10,18,74
2021-03-10,19,74
2021-03-10,20,68
2021-03-10,21,63
2021-03-10,22,61
2021-03-10,23,58
2021-03-11,0,58
2021-03-11,2,58
2021-03-11,3,57
2021-03-11,4,56
2021-03-11,5,56
2021-03-11,6,56
2021-03-11,7,63
2021-03-11,8,71
2021-03-11,9,71
2021-03-11,10,72
2021-03-11,11,78
2021-03-11,12,76
2021-03-11,13,75
2021-03-11,14,75
2021-03-11,15,77
2021-03-11,16,78
2021-03-11,17,78
2021-03-11,18,78
2021-03-11,19,78
2021-03-11,20,70
2021-03-11,21,65
2021-03-11,22,64
2021-03-11,23,59
2021-03-12,0,62
2021-03-12,1,56
2021-03-12,2,58
2021-03-12,4,57
2021-03-12,5,57
2021-03-12,6,57
2021-03-12,7,64
2021-03-12,8,71
2021-03-12,9,73
2021-03-12,10,85
2021-03-12,11,82
2021-03-12,12,87
2021-03-12,13,85
2021-03-12,14,85
2021-03-12,15,86
2021-03-12,16,85
2021-03-12,17,85
2021-03-12,18,83
2021-03-12,19,78
2021-03-12,20,71
2021-03-12,21,67
2021-03-12,22,65
2021-03-12,23,61
2021-03-13,0,64
2021-03-13,1,58
2021-03-13,2,59
2021-03-13,5,53
2021-03-13,6,55
2021-03-13,7,59
2021-03-13,8,65
2021-03-13,9,76
2021-03-13,10,84
2021-03-13,11,95
2021-03-13,12,121
2021-03-13,13,116
2021-03-13,14,116
2021-03-13,15,114
2021-03-13,16,116
2021-03-13,17,92
2021-03-13,18,86
2021-03-13,19,85
2021-03-13,20,74
2021-03-13,21,71
2021-03-13,22,63
2021-03-13,23,59
2021-03-14,0,61
2021-03-14,1,57
2021-03-14,2,60
2021-03-14,3,55
2021-03-14,5,55
2021-03-14,6,58
2021-03-14,7,59
2021-03-14,8,62
2021-03-14,9,70
2021-03-14,10,76
2021-03-14,11,87
2021-03-14,12,91
2021-03-14,13,87
2021-03-14,14,87
2021-03-14,15,90
2021-03-14,16,85
2021-03-14,17,87
2021-03-14,18,77
2021-03-14,19,74
2021-03-14,20,69
2021-03-14,21,64
2021-03-14,22,63
2021-03-14,23,58
2021-03-15,0,55
2021-03-15,1,68
2021-03-15,2,58
2021-03-15,4,60
2021-03-15,5,58
2021-03-15,6,48
2021-03-15,7,58
2021-03-15,8,66
2021-03-15,9,69
2021-03-15,10,66
2021-03-15,11,73
2021-03-15,12,76
2021-03-15,13,75
2021-03-15,14,75
2021-03-15,15,80
2021-03-15,16,78
2021-03-15,17,76
2021-03-15,18,74
2021-03-15,19,73
2021-03-15,20,65
2021-03-15,21,61
2021-03-15,22,56
2021-03-15,23,55
2021-03-16,0,53
2021-03-16,1,52
2021-03-16,2,53
2021-03-16,4,53
2021-03-16,5,52
2021-03-16,6,53
2021-03-16,7,56
2021-03-16,8,63
2021-03-16,9,67
2021-03-16,10,64
2021-03-16,11,63
2021-03-16,12,73
2021-03-16,13,73
2021-03-16,14,71
2021-03-16,15,72
2021-03-16,16,73
2021-03-16,17,74
2021-03-16,18,77
2021-03-16,19,66
2021-03-16,20,67
2021-03-16,21,60
2021-03-16,22,56
2021-03-16,23,53
2021-03-17,0,63
2021-03-17,1,54
2021-03-17,2,55
2021-03-17,4,54
2021-03-17,5,54
2021-03-17,6,54
2021-03-17,7,63
2021-03-17,8,65
2021-03-17,9,70
2021-03-17,10,64
2021-03-17,11,64
2021-03-17,12,73
2021-03-17,13,72
2021-03-17,14,72
2021-03-17,15,76
2021-03-17,16,78
2021-03-17,17,85
2021-03-17,18,85
2021-03-17,19,81
2021-03-17,20,71
2021-03-17,21,66
2021-03-17,22,65
2021-03-17,23,62
2021-03-18,0,56
2021-03-18,1,54
2021-03-18,2,54
2021-03-18,4,54
2021-03-18,5,53
2021-03-18,6,53
2021-03-18,7,61
2021-03-18,8,67
2021-03-18,9,69
2021-03-18,10,71
2021-03-18,11,81
2021-03-18,12,76
2021-03-18,13,76
2021-03-18,14,76
2021-03-18,15,81
2021-03-18,16,78
2021-03-18,17,80
2021-03-18,18,80
2021-03-18,19,78
2021-03-18,20,69
2021-03-18,21,65
2021-03-18,22,62
2021-03-18,23,56
2021-03-19,0,61
2021-03-19,2,54
2021-03-19,4,54
2021-03-19,5,53
2021-03-19,6,54
2021-03-19,7,59
2021-03-19,8,65
2021-03-19,9,75
2021-03-19,10,83
2021-03-19,11,85
2021-03-19,12,92
2021-03-19,13,86
2021-03-19,14,79
2021-03-19,15,84
2021-03-19,16,82
2021-03-19,17,85
2021-03-19,18,85
2021-03-19,19,79
2021-03-19,20,69
2021-03-19,21,63
2021-03-19,22,60
2021-03-19,23,59
2021-03-20,0,63
2021-03-20,1,56
2021-03-20,2,56
2021-03-20,5,56
2021-03-20,6,59
2021-03-20,7,59
2021-03-20,8,65
2021-03-20,9,79
2021-03-20,10,84
2021-03-20,11,100
2021-03-20,12,121
2021-03-20,13,116
2021-03-20,14,116
2021-03-20,15,116
2021-03-20,16,116
2021-03-20,17,98
2021-03-20,18,82
2021-03-20,19,82
2021-03-20,20,77
2021-03-20,21,75
2021-03-20,22,64
2021-03-20,23,59
2021-03-21,1,54
2021-03-21,2,56
2021-03-21,3,57
2021-03-21,5,54
2021-03-21,7,58
2021-03-21,8,60
2021-03-21,9,72
2021-03-21,10,75
2021-03-21,11,85
2021-03-21,12,87
2021-03-21,13,87
2021-03-21,14,85
2021-03-21,15,85
2021-03-21,16,85
2021-03-21,17,85
2021-03-21,18,80
2021-03-21,19,78
2021-03-21,20,70
2021-03-21,21,65
2021-03-21,22,62
2021-03-21,23,59
2021-03-22,0,62
2021-03-22,1,55
2021-03-22,2,60
2021-03-22,5,53
2021-03-22,6,53
2021-03-22,7,60
2021-03-22,8,70
2021-03-22,9,72
2021-03-22,10,71
2021-03-22,11,78
2021-03-22,12,81
2021-03-22,13,78
2021-03-22,14,78
2021-03-22,15,75
2021-03-22,16,77
2021-03-22,17,76
2021-03-22,18,81
2021-03-22,19,75
